first_name,last_name,street_num,address_1,address_2,suburb,postcode,state,DOB,SSN
 nicholas, clarke,13, gaylard place, tryphinia view, wetherill park,2810, nsw,19041223,3927795
 mya, maksim,41, lambrigg street, brest hill, st kilda,6050, vic,19650630,1488918
 katelyn, campbell,11, ogden close, willandra village, preston,2148, tas,19291114,4043690
 makayla, herbert,5, plummer street, tarwyn park, hopetoun,3925, vic,19111103,1756031
 ben, armiento,17, burnell place, john flynn hospital, fairlight,3630, qld, ,8511174
 emiily, bradshaw,19, parkhill street, foxdown, south grafton,4207, vic,19270912,2964855
 isabella, waller,155, blackburn street, omeo, brighton,5035, vic,19500719,7270771
 hannah, white,2, gallagher street, fairholme, aspendale gardens,2505, nsw,19840119,9007134
 nicholas, singleton, , lanley square, henry kendall bayside, malabar,4560, qld,19430819,7737769
 tommy, matthews,23, quiros street, lift, north ryde,2229, wa,19051224,9644815
 irene, alderman,9, tumbleton place, , wahroonga,3226, nsw,19670316,7471765
 tahlia, fenwick,6, pandanus street, brentwood vlge, north curl curl,4825, qld,19430604,8360325
 kimberly, mason,150, tauss place, , rosewater,7008, nsw,19840507,5663441
 ruby, gilcrist,98, honyong crescent, aleon, bassendean,6230, qld,19760723,9352851
 ebony, piniros,16, ashby circuit, myross, melton south,2913, nsw,19030607,6804193
 christopher, lock,9, swinden street, heritage est, campsie,3046, vic,19200617,3438940
 koula, haggett,18, hugh mckay crescent, woodleigh, lilydale,3028, vic,19000625,3064629
 mackenzie, meaney,193, london circuit, , frankston,2148, vic,19600306,9550123
 grace, bastiaans,201, karrugang circuit, milbrodale, eldorado,2835, nsw,19930330,8575092
 michael, chigros,8, beasley street, gypsum pit, murrumbateman,3930, vic,19380317,5018010
 anton, navalli,21, cambridge street, west park, underdale,5723, vic,19740929,8760134
 alexander, green,18, julia flynn avenue, sec 375, connolly,2516, nsw,19071024,5282495
 amelia, lowry,54, jandamarra street, ellwood, kinglake east,4208, qld,19231009,2439141
 joel, finlay,3, budyan court, mountain view village, adamstown heights,2095, nsw,19171215,5425013
 emiily, miles,21, andrea place, apt 211, kingsford,2576, nsw,19841130,4117135
 belinda, de la cruz,7, carumbi place, eddington, charlestown,2460, vic,19020217,6051352
 shai, lock,20, arabana street, kyeema vineyard, melville,6065, nsw,19820129,9117058
 sara-louise, chandler,309, schonell circuit, shoal bay, sheidow park,2761, nsw,19050207,3731436
 , riding,336, kallara close, unt 2, altona north,2177, qld,19320604,7712618
 sophie, wynne,25, leahy close, box range, beechboro,2340, wa,19940105,5948897
 elana, wilkins,11, blowering street, homevale, st kilda east,7183, nsw,19920601,4088657
 taylor-saige, tiller,27, macdonnell street, tesbury, mooroolbark,2142, qld,19230531,9914740
 charlotte, saltiel,25, discovery street, wanderers rest, long jetty,2135, sa,19291014,4955093
 alana, reid,1, baume crescent, claymore springs, yarraville,3128, vic,19200219,9147920
 bethany, belonoha,17, carstensz street, greenhills, samford,6023, vic,19870512,9824396
 george, mccarthy,35, clubbe crescent, yakilli park, mentone,2540, vic,19350704,9460223
 nicole, riddell,9, saunders street, scts crk, macquarie park,6323, nsw,19040601,8785526
 reeve, michelmore,17, wambaya crescent, war veterans hme, cooloongup,6112, wa,19940723,8143187
 finn, baradakis,13, launceston street, ferndale, coolbellup,2323, qld,19281212,1281405
 amber, webb,1, biddlecombe street, cedarview, trevallyn,3777, qld,19920815,2423271
 oscar, vrlic,10, singleton crescent, toora, robertson,4220, vic,19700526,4539064
 robert, nguyen,26, willoughby crescent, wandendi, dianella,5155, nsw,19381017,4982192
 michael, maynard,132, rogers street, leisure living vlge, pooraka,2144, nsw,19570508,3096389
 , colquhoun,11, strong place, ocean star villas, modbury,2213, qld,19621022,3058669
 cooper, clarke,2, poynton street, , dapto,2479, vic,19871109,4405327
 teaha, kyriacou,17, iron place, , tambo upper,2783, nsw,19720829,6810695
 grace, eyles,64, leighton street, , seven hills,4109, nsw,19810722,5917130
 alicia, curry,51, macrossan crescent, yarrandoo, loganholme,4118, vic,19340827,2973687
 brayden, tomney,6, spring range road, killarney, sunnybank,4670, nsw,19031003,3973459
 william, reid,12, tatchell street, st georges park, hoppers crossing,4814, nsw,19750418,4238509
 jackson, barisic,6, whitty crescent, gowrie, ringwood east,2286, nsw,19450822,1342488
 hudson, chandler,86, campbell street, lazy acres, whittington,4570, sa,19950220,8352621
 emerson, soulemezis,15, marshall street, birks harbour, st albans,2135, vic,19450805,8760466
 evan, calio,40, sugarloaf circuit, mulvra, karalee,3033, nsw,19251026,1186290
 lachlan, ryan,21, alberga street, tathra, forest hill,3150, qld,19070322,9772701
 isabella, stephenson,38, majura avenue, mafeking, emerald,2212, qld,19840307,6292167
 christian, la rance,18, tristania street, the swamp, mermaid waters,6020, nsw,19580426,2857093
 holly, matthews,47, mountain circuit, , west lakes shore,5085, nsw,19721010,5642441
 amy, shepherd,19, santalum street, the willows, lismore,5277, vic,19610121,2441128
 sophie, coulson,8, blackburn street, makana station, mansfield park,5097, nsw,19690320,9010006
 nicholas, jolly,8, piddington street, rosehill, burnside,872, nsw,19011217,7662074
 timothy, webb,23, tom roberts avenue, cathederal place, padstow heights,2193, nsw,19270531,2303333
 james, lupoi,46, mirrool street, walhalla, carlingford,2607, qld,19540202,7582894
 sam, hage,1, sweet place, woodlands surgery centre, port macquarie,3206, qld,19430116,1799750
 ellen, harrington,45, kardang street, crosslands, balhannah,3168, vic,19130627,6204857
 isabella, petrikowski,4, mcbryde crescent, beaumont hills, loganlea,4034, nsw,19900210,2493367
 ruby, vincent,1, gawler crescent, knmre street, penshurst,3585, nsw,19700602,6532162
 , gilbertson,5, goodwin street, court units, ethelton,2193, qld,19020904,2879807
 john-paul, parr,22, david street, greater cess vill, croydon north,4737, wa,19800811,8703902
 willow, bennier,235, shackleton circuit, lakeview park, dianella,2340, qld,19030228,2251111
 georgia, maynard,10, temperley street, tieve tara, toowong,3175, qld,19700324,3465730
 makenzi, white,12, bimberi crescent, , seymour,2061, wa,19350712,6816535
 hayden, marinos,10, chirnside circuit, allensleigh, success,6560, vic,19720613,6046888
 sarah, tuckwell,39, dines place, raycroft, daisy hill,6149, vic,19100817,8854990
 ash, nguyen,45, mcmillan crescent, warraview, mount gravatt,4165, nsw,19230118,2770136
 victoria, zbierski,70, wybalena grove, inverneath, paralowie,5065, nsw,19720503,1267612
 jessie, donkin,68, mackennal street, ferndale, port macquarie,2573, nsw,19900906,3358033
 brielle, spears,8, tunney crescent, hd blanche sec 28, rosslyn park,3350, wa,19890201,3140493
 maddison, weidenhofer,28, dinnison circuit, , bray park,2484, qld,19781125,6273334
 claudia, white,76, willoughby crescent, greenslopes, albion park rail,3178, wa,19810107,1170705
 tai, matthews,161, norman fisher circuit, home vlge, bracknell,2258, qld,19120506,7535799
 benjamin, yen,43, kambalda crescent, elmwood, findon,3807, nsw,19850706,7843492
 bianca, cobbett,32, yerralee road, wongon, woodend,3083, vic, ,1020735
 lauren, hilton,16, grayson street, glenmore, corio,2645, wa,19150223,5611249
 mackenzie, boocock,81, tipiloura street, ursula, budgewoi,7027, nsw,19030720,6435654
 layla, chammen,9, discovery street, st francis vlge, keilor east,5352, nsw,19550123,4055724
 jasmin, kulas,1, sheehan street, salimtal, toowoomba,3850, nsw,19210113,7425903
 bailey, green,76, jackie howe crescent, glengara village, murgon,3340, nsw,19960416,9882349
 alisha, reid,89, rosenthal street, blue haven village, rushworth,3293, nsw,19951111,3980129
 william, white,33, downes place, , normanhurst,3057, sa,19970306,9053801
 daniel, commons,33, nungara street, glenhurst, chester hill,4740, wa,19350922,1606130
 brooke, homles, , yiman street, high valley, camira,5043, nsw,19360812,5450160
 emma, marcola,7, totterdell street, rosetta village, goonellabah,6018, vic,19641017,7190961
 jack, highet,26, mathieson crescent, , whittington,3064, vic,19650507,6260000
 thomas, hare,18, gilderston circuit, canowindra, coffs harbour,4211, nsw,19190206,3277988
 luke, mahony,58, scaddan place, elston, beenleigh,2830, qld,19550621,6013061
 trey, saines,26, throssell street, kindilan, buff point,4161, act,19110205,2740304
 sebastian, garcia,24, cockcroft avenue, , blacktown,4077, sa,19640925,2452041
 renee, renfrey,24, serpentine street, retmnt vlge, winchelsea,2176, wa,19690305,5153203
 annabelle, berry,40, rowntree crescent, cherry haven, tongala,6028, wa,19430705,2510289
 riley, green,20, riordan street, tillside, burwood,3199, vic,19531216,5368190
 heath, everett,7, hurry place, reinfrew park, belmont,2447, qld,19430804,7474300
 zarran, eisele,39, national circuit, kojonolokan hills, penguin,5114, tas,19330305,3983917
 brooklyn, mercorella,41, endeavour street, knox retirement village, concord west,2083, nsw,19050705,7877973
 juliana, matthews,1261, lamington street, mount patrick, brighton-le-sands,2287, vic,19030123,9544022
 daniel, lowe,18, stanfield close, , plympton south,2111, vic,19230424,5226883
 georgia, green,18, madigan street, kareela, mentone,3137, qld,19341105,5788426
 james, stearnes,8, leahy close, , bayswater,3195, nsw,19330802,9900161
 lara, carbone,61, beasley street, ebony's retreat, bossley park,5343, vic,19560105,2542464
 emerson, whiteway,1, westhoven street, yurara park, brighton,3356, vic,19430528,8932147
 ella, browne,35, tanjil loop, cedarview, berkeley vale,4564, qld,19480726,6646608
 samuel, matthews,42, ferdinand street, eagle rock, east fremantle,2049, nsw,19140402,4593177
 meg, everett,13, greenough circuit, miowera, caves beach,2267, nsw,19660606,8990768
 brianna, white,5, hazel smith crescent, water view, loganholme,2210, nsw,19860705,3275049
 lilly, millar, , castlereagh crescent, berkeley vlge, orchard hills,2285, qld,19350722,6991931
 thomas, white,42, cochrane crescent, balmoral garden, sefton,3136, qld,19800413,1153372
 caitlin, weaver,298, vagabond crescent, francis chambers, thornbury,5072, nsw,19680909,
 alex, plumb,41, mcrae place, castlewood, pakenham,4214, nsw,19460521,2390847
 simon, clarke,21, verdon street, antanoff' south, warracknabeal,2777, vic,19630730,1009287
 angelina, ryan,1, andrews street, glenmore, bowning,2221, nsw,19460915,3778166
 henry, varcoe,4, fox place, cabbage tree, robina,6051, wa,19440630,4816938
 thomas, green,10, dumas street, bonnie doon, innaloo,5108, nsw,19340204,6817957
 hudson, caine,19, mackellar crescent, judy's creek, east melbourne,2130, nsw,19490406,7689320
 henry, martinello,48, fred lane crescent, coorabil, northampton,2794, qld,19410617,4721399
 joshua, rigley,19, east place, kergunyah, kingaroy,3665, vic,19670613,4096438
 tasman, green,36, wynn street, nixon hostel, penrith,2132, qld,19390608,2928427
 mia, miles,54, beirne street, pacific palms caravn park, windsor,3268, nsw,19720726,3671331
 elly, miles,2, vidal place, pacific regis, loganlea,6061, qld,19451126,5179731
 blaize, mcfadden,12, fitchett street, brentwood village, yass,2062, nsw,19470701,1930825
 tanyshah, praehofer,15, moogerah street, roseglen, woollahra,3875, nsw,19290421,7881845
 david, ,3, eggers place, ainslie house, nubeena,4869, nsw,19380403,6575835
 samuel, goldsworthy,28, louis loder street, grant patch, naremburn,4055, sa,19270607,5061165
 blakeston, broadby,53, traeger street, valley of springs, north ward,3083, qld,19120907,4308555
 noah, rosato,25, la perouse street, cowal, east maitland,7140, wa,19160718,6064519
 kirra, coppola,33, waugh close, tintagel, warilla,3926, nsw,19531118,9223478
 brody, stearnes,7, fincham crescent, binnalong, thornbury,3639, vic,19440417,8363677
 kristen, white,5, sherlock street, morayfield exchange, wangaratta,5082, wa,19761201,8300732
 lucas, white,56, hacke place, carlow, prospect,4650, vic,19400902,2640399
 blake, bracci,159, duffy street, hillcrest lodge, bacchus marsh,4510, nsw,19590213,9959006
 lawson, brooker,6, , cascades, brunswick heads,3218, nsw,19960904,9338356
 gemaley, meadows,42, alarmon crescent, kalang, newham,3146, vic,19230420,5029065
 noah, scott-jackson,38, kosciusko avenue, upper flat, punchbowl,4306, nsw,19811218,2859455
 georgia, rau,12, wolff crescent, mt derriwong, greendale,3805, qld,19451104,7297422
 talia, dhara,81, kirkham place, lochenfels, bidwill,4160, wa,19700715,9048094
 georgia, asher,38, onslow street, rsdb 284, prospect,5434, nsw,19801009,6899844
 louise, bowerman,27, nelson place, , keysborough,3805, vic,19141204,7238468
 emiily, binns,24, howell place, sec 142 hd rounsevell, ryde,2627, wa,19941108,8919080
 robert, george,28, erldunda circuit, nioka, picton,4814, nsw,19400601,4149373
 georgia, gilkes,16, eagle circuit, hornsbie, wantirna,2251, wa,19241007,7326444
 lucas, kulesza,7, bertel crescent, southern cross, lawrence,2577, wa,19460901,1047465
 jessica, robson,337, marcus clarke street, macarthur, vermont,3429, nsw,19790719,6293706
 carly, honeychurch,4, dalley crescent, john flynn medical centre, oakville,4700, sa,19510713,3359709
 tara, radulescu,83, carslaw street, croydon, inglewood,2118, nsw,19960701,7082968
 jaden, brammy,22, blackett crescent, parry house, keilor east,4810, tas,19620916,3934199
 , kars,120, gurrang avenue, alnwick, rosslea,3241, vic,19880426,5932561
 barnaby, wevill,26, barringer street, sec 692, girgarre,2165, qld,19741112,3879376
 imogen, hope,5, dumaresq street, delmar, beecroft,7307, wa,19770614,8438312
 jessica, liddy,15, hyndes crescent, sec 1, fairlight,4133, nsw,19620602,9399509
 jacqueline, ferris,107, kriewaldt circuit, dunmoven, mirrabooka,3195, vic,19250708,6320610
 andrew, berry,70, galibal street, blue haven village, ascot,5606, sa,19540522,4799173
 jessica, mac neill,13, neeld place, bessy sue, sheffield,3124, act,19160213,6416337
 jayden, rees,41, beaufort retreat, ramano estate locn 1, black rock,5253, qld,19350102,8170572
 jasmine, mcfadden,46, noongale court, rosetta village, marshdale,4215, sa,19760927,6401287
 tyler, beattie,4, cambridge street, kintyre, deagon,3151, vic,19950713,3309482
 adam, clarke,3, skinner street, kona, woodcroft,4878, wa,19270705,7112414
 joshua, londrigan,15, mayo street, pacific haven, wendouree,2505, sa,19450424,4184958
 dillon, cranefield,9, loch street, rowethorpe d1, lutwyche,2650, qld,19601109,7417124
 , dixon,13, salsola street, the homestead, lawson,6210, qld,19370314,7753663
 april, wehr,1, ellerston avenue, darlington, joondanna,2150, wa,19941109,2560536
 connor, foall,17, lamb place, , kilsyth,3174, qld,19140927,4900414
 logan, bishop,1, tanjil loop, colombo plains, inglewood,2113, qld,19000423,1698144
 jessica, singleton,40, tyrrell circuit, villa 2, farrer,4422, qld,19241115,7634940
 liam, petersen,38, solomon crescent, blue hills, mosman,3630, vic,19800221,7148654
 annabelle, ,6, dethridge street, the castle, oakville,2526, vic,19350712,1214735
 william, hope,32, doonkuna street, colomie, dululu,4560, vic,19860326,9704755
 alice, campbell,16, de little circuit, unt 1, bonville,2118, ,19130416,2353372
 clain, jeffries,12, thurlow place, hawksview, mount eliza,3930, qld,19060706,8877669
 angelica, coleman,31, meldrum street, the briar patch, semaphore south,4035, nsw,19150104,1940066
