given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
 phoebe, ,33, kumm place, the manor garden, harris park,2323, vic,19061113,3155906
 angip, wimmre, , baracchi crescent, mawarra herefords, marsden,2406, sa,19700928,3795146
 blakeston, lock,59, bonnor close, , ment one,7140, wa,19590930,6335558
 ben, grub,9, girrahween street, loma, brunswick west,1382, nsw,19360711,6198116
 elle, mattehws,54, maddock place, glenburnie lodge, park orhcards,6058, vic,19960094,9253952
 gillian, kaddtaz,72, ivo whittonc ircuit, woodport hostel, murdcoh,2026, qld,19650426,3271990
 jenna, ryan,79, arulbin, kelleway avenue, lutwyc he,3182, vic,19330417,9427822
 jordan, lahz,53, scantleburycrescent, argyl square, hamilton,2153, aw,19760111,1854713
 mhary, matthews,26, foxall street, upper yarrowitch, newcaslte,6525, vic,19540913,2983255
 rhys, campbdll,37, brentwood village, uptonsttreet, woollahra,3355, wa,19990213,2201146
 whoe, chloe,7, myall street, yallanbee, north maclean,2016, vic,19830207,7105783
 rhett, boxer,19, langlands close, roweetohrpe, mont albert,5353, qld,19150512,7303507
 oliver, tootell,363, shackletonicircuit, , cardiff,3812, vic,19000604,8984164
 jolyl, hannah,89, , palm lake resort, joondalup,3550, nsw,19020625,2585701
 jade, browne,407, sabine close, brentwoidvlge, leichhardt,4708, vic,19810923,8107465
 christina, taute,30, casson street, old mia miak school, swan hill,1261, qld,19461002,1050753
 , donaldson,71, mannheim street, sandalford komestead, urangan,2713, nsw,19320608,5103641
 flynn, van heythuysen,2, shepherddon place, nunkeri, rose bay,2122, nsw,19780418,3254370
 prudence, monmco,8, barracloughccrescent, glendaurel, midland,4017, wa,19060919,2264092
 lucas, portors,6, ballard place, mari ner views, noble park,4061, wa,19381227,6890246
 lachlan, goldsworthy,5, wanganeen avenue, howie circuit, sheidow park,2038, sa,19380108,4133306
 antonio, hagwe,34, grigsnplace, warrawong, tinamba,3636, nsw,19330331,8499345
 berry, jye,303, chirnside circuit, , benowa,4021, ,19891213,3022720
 amber, schmelter,10, o'connor circuit, , hermidale,3038, nws,19740411,2810306
 skye, ryan,39, anningie place, terra notra, macedon,3097, sa,19941118,8669770
 annabelle, webbh,105, eyre street, alcarnaa, turner,4157, nsw,19020930,2019510
 ja xson, selht,1, moonta place, walhalla, maryborough,2066, qld,19130707,7238580
 , rollins,28, flinders way, lazy acres, kilsyth,3775, nsw,19941004,3535164
 jeswica, blackwell,20, mcgeep lace, brentwoo dvlge, ermington,2795, sa,19801015,4099338
 noah, menzhies,18, bingley crescent, east lynn, abbotsford,870, nsw,19391026,1502043
 ty, green,411, hughmckay crescent, , mullumbimby,3550, nsw,19520829,7797381
 ellie, green,17, brereton street, warrawpng, hocking,4306, nsw,19080412,4034632
 elizabeth, browne,11, carina shreet, ocean pinex caravn park, flinders park,2487, vic,19061213,2560358
 sachi n, ,85, sparkes close, villa36 sovereign garden, cainrs,2750, vic,19820717,8721401
 lachlan, rawlibs,49, lochleugh, whispering pines, coonamble,2089, nsw,19261022,9145105
 kifra, spratt,14, giles btreet, rajamare, cleveland,5127, qld,19390404,2611615
 ellie, green,13, yerra court, nanum, mirboo nnrth,6056, sa,19086011,5986644
 blake, purdvon,1, beauchamp street, francis chambers, maida vale,3153, sa,19510318,1098632
 slam, neophyton,16, albermarle place, sec 1, springwood,2500, qld,19670216,6643294
 georgia, tunstall, , beadle olace, holmligh, caulfield north,3046, sa,19330720,4656516
 jarvis, lutz,290, brand street, the tops, belmont north,2106, act,19050520,5963506
 deakin, dooley,52, moulder court, highgat e, dundowran,3113, qld,19111113,9047714
 blaize, matthwws,191, mirningcrescent, laurel bank, ardrossan,2550, nss,19441202,5876491
 sam, grne,43, leita court, strathmore vineyard, geelony east,4350, nsw,19040618,1956745
 kade, hindmarch,16, ross smith crescent, , goonellabah,2116, ,19400708,3431636
 thomas, bellchmabers,89, carruthers street, milapra, goonellabah,2710, wa,19430311,1603931
 nicholas, scantlebury,25, kambah vlge, casuarina sh oppingsqre, fish creek,3585, nsw,19370405,8589026
 joshzua, ho,23, mile beach caravan park, warragamwa avenue, east maitland,3181, nsw,19320427,9710227
 kyle, reaburn,27, bradfield street, parklands vkllage, lennox head,4061, nt,19150609,7434508
 deakin, nguyen,142, pasco street, erinsrest, marlo,4560, tas,19060928,1380475
 ebony, wynne,261, teaguestreet, fleetview, harris park,4359, act,19070922,2766218
 charlee, ponsford, , hawker stdreet, locn 449, harbord,2234, nsw,19290803,8863899
 michael, maclennan,6, richmond street, lake downs super f ine merino stud, emu plamins,5279, qld,19390409,1643013
 mikhayla, clacke,33, benson drescent, allensleigh, brigton,3456, vic,19170129,2179147
 nathan, dunstone,41, shirlow place, poldoe park, blacutown,3820, nsw,19001013,1854047
 lilyt, keelty,171, mcgiver n crescent, navan park, port adkaide,3551, qld,19800514,2027365
 rachel, campbell,48, dutton sitreet, the wiklows, wendouree,3129, nsw,19710314,6934561
 zack, brock, , top nass, , hyde park,4740, nsw,19130124,8703977
 liam, maclennan,6, wrixon street, glenmo re, highett,5125, vic,19411104,3268350
 amelia, cochrane,74, morrow st reet, riverside professional centre, slacks creek,2084, tas,19220112,5154778
 tarnex, fitzpatrick,8, conjola close, , st kilda,4421, qld,19950715,8081610
 chelsea, blackwell,37, grounds crescent, c/o post o ffice, emerald,4210, sa,19390203,6074956
 joe, clarke,7, skardon treet, bonnie doon, north cu rl curl,4122, sa,19640223,3654594
 alicia, fergus,67, gidabal street, felb rig, wialki north,2251, sa,19971215,9245698
 tanar, saccardo,43, irvine street, anzac house (cnrf archer s street, canterbury,3690, wa,19100526,7953897
 claudia, bowerman,66, fidge street, ashgrov e farms, salisbury,3328, vic,19060517,3167418
 luke, white,31, outtrim aqenue, glenora farm, flinedrs bay,2227, sa,19151010,6925269
 christian, drechsler,75, , , summer hill,7018, sa,19580327,1471940
 mackenzie, rendulic, , auburn street, lonesome dove, blackbutt,4271, ,19700812,5371450
 abby, ang,21, dunstanstreet, the parks, belmont,4125, nsw,19830621,8045581
 hayley, morrion,35, kirkwood crescent, vill a 183, sprin gwood,2396, vic,19000326,8113043
 solomon, morrison,67, jarrahdale street, yalda ra, empire bay,2907, qld,19400406,5013206
 brock, kate,12, kareelahv ista, pine hill, yaroowba,4740, vic,19130707,2213154
 lucas, green,2, castlereagh crescent, dunbogan car avan park, beecroft,3073, tas,19760131,5181228
 thomas, nickolai,17, clode cerscent, bendigo retirdment village, woy woy,3851, tas,19390429,4414879
 harrison, nguyemn, , fraenk ek street, harvuc, cardiff,3073, tas,19240421,5852654
 anthoy, green,51, honyong cqrescent, kilwin ning, fadden,2171, wa,19790424,9686264
 madison, seddon,9, wirilda street, killarney, rosebery,4109, vic,19770403,7497295
 kyle, leane,13, warrol, macarthur avenue, booragul,2200, nsw,19770320,7924874
 callum, teti,686, wheelwright crescent, , brighton,4018, wa,19260102,9064672
 laura, flannery,54, sid barnes crescent, , winstonhills,5073, qld,19581023,9712180
 leslie, nichllas,10, de little circuit, retirement xvillage, daisy hill,4802, nsw,19691231,9490741
 matthew, coleman,9, eggers fplace, carinyah station, lalor,4707, vic,19111230,1110230
 nahan, bishop,2, osburn drive, noosa village shopping centre, woodhill,2530, vic,19961008,6472175
 chooe, worm,6, brentnal place, donna valley, karloo,3128, nsw,19000814,9383057
 webbw, angie,18, ross smith crescent, , hughes,2380, nsw,19320523,7667880
 kyle, faull,38, moynihan street, cosy corner, lennox head,6081, vic,19960130,1684057
 christopher, george,12, hopetoun circuit, brookavle, mayfield,6016, nsw,19741228,2025503
 christopher, chammne,8, crisp ci rcuit, , croydon north,3126, wa,19030403,4266096
 riley, bennell,52, sabine close, browne's reef, toowoomba,4556, qld,19441206,1596501
 hannah, sinoch,9, blackwell ycircuit, st francis vlge, broadmeadows,2650, vic,19770628,4760009
 nathan, ,1582, collings street, dalmoora, scarbo rough,2350, nsw,19591112,1760594
 cameron, lavis,2, albermarl place, dananbulla, glenwood,6442, vic,19410723,5700120
 jack, paterson,24, gleadow street, st francis vlge, wahroonga,3501, nsw,19641002,2532475
 josephine, gallio,23, marsden street, sunnydalecottage, blacktown,2753, qld,19230227,8542303
 eliza, campbell,113, dines place, villa 74 village glen, figtree,3550, nsw,19651205,4509107
 lily, egain,526, louis loder street, , alfords point,3031, sa,19610514,2519145
 ella, riddell,99, springvale drive, , melville,5012, nsw,19640405,5082521
 liam, drougas,29, collins place, moonylora, oakville,2560, qld,19670112,8993502
 sariago, etan,20, eaglemont retreat, melody c ottage, camperdown,2615, nsw,19320524,2653664
 mya, mccarthy,43, wakool circuit, , moona hwest,2063, nsw,19120729,5475592
 lraa, seychqell,20, ferber place, brentwood vlge, highgate,5501, vic,19060816,9577137
 leah, clarke,2, iterra place, , new farm,4109, vic,19650213,9701309
